CID,CNAME,CADDR,Response_Address,Response_X,Response_Y
13062773,仁崇室內裝修股份有限公司,臺北市中正區懷寧街90號3樓,臺北市中正區黎明里8鄰懷寧街90號,301863.91,2770614.991
13063816,衡禾室內裝修設計有限公司,臺北市中山區吉林路200巷10號1樓,臺北市中山區中庄里6鄰吉林路200巷10號,303439.823,2772356.825
13081455,禾品國際室內裝修設計有限公司,臺北市信義區忠孝東路5段71巷33號,臺北市信義區興雅里13鄰忠孝東路五段71巷33號,307256.663,2770656.699
13082692,芫鴻室內裝修有限公司,臺北市北投區明德路12號3樓,臺北市北投區建民里16鄰明德路12號,302179.264,2777701.294
13082996,群家室內裝修股份有限公司,臺北市信義區忠孝東路５段５１０號７樓之１,臺北市信義區松光里1鄰忠孝東路五段510號,308407.231,2770460.427
13083783,大景室內裝修有限公司,臺北市文山區羅斯福路6段455巷6號14樓,臺北市文山區景行里4鄰羅斯福路六段455巷6號,304518.395,2764771.753
13090089,洛可可室內裝修設計工程有限公司,臺北市松山區南京東路4段93號9樓之2,臺北市松山區東勢里2鄰南京東路四段93號,305912.33,2771632.428
13090829,泓貫室內裝修企業有限公司,臺北市松山區八德路４段３８９巷２４號１樓,臺北市松山區新聚里9鄰八德路四段389巷24號,307357.083,2771450.035
13091524,百辰室內裝修設計有限公司,臺北市松山區南京東路5段156號8樓,臺北市松山區吉祥里9鄰南京東路五段156號,306790.408,2771570.101
13093831,展揚室內裝修有限公司,臺北市大安區和平東路3段346巷2之1號2樓,臺北市大安區黎和里1鄰和平東路三段346巷2之1號,306240.336,2768057.766
13096008,好功椿室內裝修工程有限公司,臺北市內湖區港墘路94號,臺北市內湖區港都里1鄰港墘路94號,308243.443,2774802.752
13096513,形砌室內裝修設計工程有限公司,臺北市內湖區洲子街46號5樓,臺北市內湖區港墘里20鄰洲子街46號,307823.651,2774629.894
13101277,啟室室內裝修設計工程股份有限公司,臺北市信義區光復南路547號14樓,臺北市信義區中興里7鄰光復南路547號,306271.279,2769391.205
13101516,三方室內裝修有限公司,臺北市中山區松江路328號4樓,臺北市中山區新生里3鄰松江路328號,303771.766,2772638.517
13103893,和熙室內裝修有限公司,臺北市中正區杭州南路1段33號11樓,臺北市中正區幸福里11鄰杭州南路一段33號,303105.981,2770496.56
13105273,生命樹多元創意室內裝修股份有限公司,臺北市信義區光復南路447之2號12樓之3,臺北市信義區正和里21鄰光復南路447之2號,306277.556,2769790.449
13105983,玉京山室內裝修有限公司,臺北市大安區金山南路２段２０９號１樓,臺北市大安區錦安里8鄰金山南路二段209號,303114.129,2768982.731
13106224,達彩室內裝修有限公司,臺北市中正區師大路159號5樓,臺北市中正區林興里19鄰師大路159號,303248.139,2768164.516
