"Response_X","Response_Y","R_cat","P_cat","M_cat"
304364.318,2778486.086,1,0,0
303181.89,2778284.276,1,0,0
303095.394,2778272.236,1,0,0
303170.793,2778165.826,2,0,0
303312.544,2778161.742,2,0,0
303224.105,2778229.824,1,0,0
303081.637,2778252.463,1,0,0
303237.076,2778292.973,1,0,0
303284.897,2778280.276,2,0,0
303092.459,2778253.915,1,0,0
303289.527,2778301.1,1,0,0
303108.534,2778274.433,1,0,0
303332.53,2778308.173,1,0,0
303322.79,2778349.679,1,0,0
303383.603,2778405.965,1,0,0
303405.94,2778443.261,1,0,0
303434.773,2778465.761,1,0,0
303354.957,2778350.04,1,0,0
303447.821,2778465.754,2,0,0
303462.344,2778512.707,1,0,0
303358.788,2778357.621,1,0,0
303404.93,2778319.45,2,0,0
302332.392,2776070.263,0,0,1
302290.747,2776177.72,1,0,0
302159.15,2776345.789,2,1,0
302456.561,2775902.565,1,0,0
302441.265,2775911.358,0,0,1
302442.89,2775926.979,1,0,0
303120.583,2775823.483,1,0,0
303108.116,2775827.818,1,0,0
303090.735,2775820.317,2,0,0
303057.081,2775830.901,1,0,0
303047.45,2775833.758,1,0,0
303051.95,2775842.312,1,0,0
303047.875,2775843.598,1,0,0
303044.022,2775844.812,1,0,0
303020.551,2775852.209,1,0,0
303133.761,2775817.408,1,0,0
302959.941,2775861.972,2,0,0
302955.373,2775863.427,3,1,0
302918.855,2775888.169,1,0,0
300334.603,2780581.914,1,0,0
300334.825,2781086.892,1,0,0
300337.931,2781133.023,1,0,0
300341.397,2781193.92,1,0,0
300339.524,2781171.015,1,0,0
300346.304,2781220.87,1,0,0
300326.308,2780590.094,1,0,0
300358.998,2781460.695,1,0,0
300360.213,2781483.727,1,0,0
300314.104,2780605.822,1,0,0
300345.261,2781457.729,1,0,0
300348.611,2781479.255,1,0,0
300349.599,2781498.414,2,0,0
300348.464,2781512.346,1,0,0
300294.564,2780628.135,1,0,0
305114.125,2770328.61,2,0,0
305106.447,2770837.643,1,0,0
305061.986,2770307.33,4,0,0
305114.539,2770225.053,1,0,0
305113.279,2770173.028,3,0,0
305093.506,2770187.409,1,0,0
305113.352,2770123.791,5,2,1
305110.713,2770021.116,2,0,0
305167.008,2770020.207,2,0,0
305164.091,2770003.519,1,0,0
305181.404,2770004.851,2,0,0
305119.441,2770003.813,1,0,0
305129.361,2770021.086,1,0,0
305152.126,2770003.52,1,0,0
305119.93,2769976.636,2,1,0
305088.978,2769936.28,7,0,0
305187.847,2769932.617,1,0,0
305166.056,2769932.193,1,0,0
305021.182,2769917.518,2,0,0
305109.472,2769915.897,1,3,1
305086.434,2769839.891,3,0,0
305088.469,2769822.062,1,1,0
305071.396,2769808.035,2,0,0
305107.36,2769823.455,3,0,0
305188.365,2770799.211,1,2,0
305206.336,2770821.352,2,0,0
305213.165,2770801.888,1,0,0
305259.036,2770800.245,1,0,0
305297.023,2770821.214,2,1,0
305134.314,2770804.855,1,0,0
305106.907,2769815.103,1,0,0
305088.004,2769743.043,1,0,0
305088.113,2769759.022,5,2,0
305106.691,2769801.351,2,0,1
305064.924,2769741.913,1,0,0
305088.18,2769726.053,1,0,0
305106.477,2769790.952,1,0,0
305106.893,2769763.958,2,2,0
305088.45,2769706.184,1,0,0
305128.627,2770804.813,1,0,0
305082.556,2769692.226,1,0,0
305107.099,2769727.455,2,0,0
305038.769,2769655.88,1,0,0
305106.656,2769718.389,1,0,0
305106.466,2769722.149,1,0,0
305083.739,2769645.837,3,0,1
305109.851,2769711.535,3,0,0
305107.798,2769663.726,3,2,2
305086.98,2769628.751,1,0,0
305107.543,2769615.385,3,0,0
305105.019,2770729.736,1,0,0
305176.09,2770771.16,1,0,0
305183.515,2770771.096,2,1,0
305209.211,2770773.326,3,0,0
305211.203,2770754.174,3,1,0
305213.543,2770773.112,2,0,0
305213.409,2770750.604,1,0,0
305213.398,2770748.409,1,0,0
305234.501,2770773.793,4,1,0
305244.215,2770773.568,1,0,0
305137.844,2770755.092,3,0,0
305289.315,2770772.521,1,0,0
305134.982,2770773.655,1,0,0
305282.754,2770751.512,1,0,0
305298.448,2770751.222,1,0,0
305127.159,2770858.059,1,0,0
305123.621,2770734.203,5,0,0
305107.241,2770710.996,2,0,0
305123.724,2770682.662,3,0,0
305123.648,2770678.081,2,0,0
305170.127,2770675.655,3,0,0
305174.692,2770675.64,1,0,0
305160.633,2770654.45,1,0,0
305188.107,2770675.593,1,0,0
305181.828,2770654.236,1,1,0
305206.379,2770675.531,5,1,0
305226.814,2770674.728,1,0,0
305223.824,2770650.761,1,0,0
305235.096,2770651.098,2,0,0
305240.519,2770651.099,3,0,0
305258.219,2770674.274,5,1,0
305264.783,2770674.179,2,0,0
305255.76,2770656.469,2,0,1
305253.079,2770651.099,1,0,0
305267.343,2770674.142,1,0,0
305271.904,2770674.076,6,0,0
305298.179,2770673.692,3,1,0
305134.165,2770654.839,5,0,0
305160.42,2770675.688,4,0,0
305015.148,2770677.822,5,0,0
305014.894,2770646.227,1,0,0
304987.027,2770678.014,6,1,0
304975.426,2770675.372,1,0,0
305072.11,2770677.883,1,0,0
305123.453,2770650.458,3,1,0
305123.477,2770634.164,4,0,0
305123.246,2770625.271,1,0,0
305122.971,2770605.674,3,0,0
305122.786,2770600.061,7,1,0
305123.002,2770580.326,2,0,0
305125.89,2770568.21,7,7,1
305175.83,2770574.572,1,0,0
305135.086,2770568.09,1,0,0
305126.835,2770531.508,5,0,0
305126.822,2770847.733,3,0,0
305095.477,2770447.715,9,5,1
305095.505,2770443.01,5,0,2
305197.825,2770420.502,2,1,0
305160.81,2770416.494,1,0,0
305092.851,2770420.83,1,0,0
305085.942,2770420.83,4,2,0
305044.645,2770398.265,2,0,0
305078.317,2770389.538,0,0,1
305095.267,2769275.346,2,0,0
305096.365,2769230.332,1,0,0
305096.41,2769216.214,2,0,0
305095.423,2769187.902,2,0,1
305095.422,2769173.041,1,0,0
305179.059,2769047.706,1,0,0
305094.107,2769107.783,1,0,0
305042.557,2769086.3,1,0,0
305092.987,2769045.814,1,0,0
305109.776,2769452.172,3,0,0
305117.832,2769430.731,2,1,1
305117.937,2769424.881,2,0,0
305130.238,2769348.392,2,0,1
305135.831,2769348.308,1,0,0
305084.753,2769448.297,1,0,0
305095.2,2769366.272,2,0,0
302874.92,2775833.909,1,0,0
302876.211,2775867.93,1,0,0
302893.502,2775893.773,1,0,0
302897.725,2775936.267,1,0,0
302911.873,2775965.647,1,0,0
303011.957,2775983.763,1,0,0
302994.321,2775541.506,1,0,0
302989.054,2775482.007,2,0,0
303014.827,2776022.529,3,0,0
303005.117,2776060.93,4,1,0
302975.361,2775570.493,2,0,0
302972.437,2775589.639,1,0,0
302980.525,2775536.663,4,0,0
302986.719,2775587.509,2,0,0
302993.732,2776107.312,1,0,0
302941.061,2775630.705,1,0,0
302922.257,2775631.973,2,0,0
302960.71,2775645.389,2,0,0
302911.693,2775610.209,1,0,0
